Ticker;Nome;Setor ICB
LCAM3 BZ Equity;COMPANHIA DE LOCACAO DAS AME;Travel & Leisure
TBOF11 BZ Equity;FII TB OFFICE;#N/A N/A
HBOR3 BZ Equity;HELBOR EMPREENDIMENTOS SA;Real Estate Investment & Services
SAAG11 BZ Equity;SANTANDER AGENCIAS FII;Nonequity Investment Instruments
PFRM3 BZ Equity;PROFARMA DISTRIBUIDORA;Food & Drug Retailers
AGRO3 BZ Equity;BRASILAGRO-CIA BRASILEIRA DE;Food Producers
LIPR3 BZ Equity;ELETROBRAS PARTICIPACOES SA;Electricity
MILS3 BZ Equity;MILLS ESTRUTURAS E SERVICOS;Construction & Materials
JSRE11 BZ Equity;JS REAL ESTATE MULTIGESTAO F;#N/A N/A
RPMG3 BZ Equity;REFINARIA DE PETROLEOS MANGU;Oil & Gas Producers
KEPL3 BZ Equity;KEPLER WEBER SA;Industrial Engineering
TRNT11 BZ Equity;FII TORRE NORTE;Equity Investment Instruments
PQDP11 BZ Equity;FI IMOBIL PAR DOM PED SHP CT;Equity Investment Instruments
BPHA3 BZ Equity;BRASIL PHARMA SA;Pharmaceuticals & Biotechnology
PTBL3 BZ Equity;PORTOBELLO SA;Construction & Materials
JFEN3 BZ Equity;JOAO FORTES ENGENHARIA S.A.;Real Estate Investment & Services
AGCX11 BZ Equity;FII AGENCIAS CAIXA;#N/A N/A
SGPS3 BZ Equity;SPRINGS GLOBAL PARTICIPACOES;Personal Goods
SHPH11 BZ Equity;SHOPPING PATIO HIGIENOPOLIS;Equity Investment Instruments
TPIS3 BZ Equity;TPI - TRIUNFO PARTICIPACOES;Construction & Materials
GPAR3 BZ Equity;CIA CELG DE PARTICIPACOES SA;Electricity
FAMB11B BZ Equity;FII EDIF ALMIRANTE BARROS;Equity Investment Instruments
BOVV11 BZ Equity;IT NOW IBOVESPA FUNDO INDICE;#N/A N/A
LPSB3 BZ Equity;LPS BRASIL CONS DE IMOVEIS;Real Estate Investment & Services
BMIN4 BZ Equity;BANCO MERCANTIL DE INVE-PREF;Banks
PRIO3 BZ Equity;PETRO RIO SA;Oil & Gas Producers
BRIV4 BZ Equity;BANCO ALFA DE INVESTIME-PREF;Banks
PMAM3 BZ Equity;PARANAPANEMA S.A.;Industrial Metals & Mining
AHEB5 BZ Equity;SAO PAULO TURISMO SA -PREF A;Travel & Leisure
RANI4 BZ Equity;CELULOSE IRANI S.A.-PREF;Forestry & Paper
SHOW3 BZ Equity;T4F ENTRETENIMENTO SA;Travel & Leisure
TELB3 BZ Equity;TELECOMUNIC BRASILEIRAS S.A.;Fixed Line Telecommunications
HGLG11 BZ Equity;CSHG LOGISTICA FII;Real Estate Investment Trusts
CGRA4 BZ Equity;GRAZZIOTIN SA-PREF;General Retailers
CEBR5 BZ Equity;CIA ENERGETICA BRASIL-PF A;Electricity
CEED3 BZ Equity;CIA ESTADUAL DE DISTRIBUICAO;Electricity
KNIP11 BZ Equity;KINEA INDICE DE PRECOS FII;Nonequity Investment Instruments
CRIV4 BZ Equity;FINANCEIRA ALFA SA-PREF;Financial Services
BGIP4 BZ Equity;BANCO ESTADO DE SERGIPE-PREF;Banks
GFSA3 BZ Equity;GAFISA SA;Household Goods & Home Construction
PEAB3 BZ Equity;CIA PARTICIP ALIANCA BAHIA;Nonlife Insurance
CARD3 BZ Equity;CSU CARDSYSTEM SA;Support Services
SHUL4 BZ Equity;SCHULZ SA-PREF;Automobiles & Parts
GSHP3 BZ Equity;GENERAL SHOPPING BRASIL SA;Real Estate Investment & Services
EMAE4 BZ Equity;EMPRESA METROPOLITANA-PREF;Electricity
CSAB4 BZ Equity;CIA SEGUROS ALIANCA BAHIA-PR;Nonlife Insurance
PINE4 BZ Equity;BANCO PINE SA - PREF SHARES;Banks
BBFI11B BZ Equity;BB FI IMOBILIARIO PROGRESSIV;Real Estate Investment Trusts
TECN3 BZ Equity;TECHNOS SA;Personal Goods
CRPG5 BZ Equity;CRISTAL PIGMENTOS DO BRASIL;Chemicals
BRGE5 BZ Equity;CONSORCIO ALFA DE ADMI-PRF A;Financial Services
EUCA4 BZ Equity;EUCATEX SA INDUSTRIA-PREF;Construction & Materials
FCFL11B BZ Equity;FUNDO CAMPUS FARIA LIMA;Real Estate Investment Trusts
BBRK3 BZ Equity;BRASIL BROKERS PARTICIPACOES;Real Estate Investment & Services
DOHL4 BZ Equity;DOHLER SA COMERCIO E IN-PREF;Personal Goods
BCFF11B BZ Equity;FII BTG PACTUAL FUNDO FUNDOS;Real Estate Investment Trusts
POSI3 BZ Equity;POSITIVO TECNOLOGIA SA;Technology Hardware & Equipment
RPAD6 BZ Equity;ALFA HOLDINGS SA-PREF B;Financial Services
CREM3 BZ Equity;CREMER SA;Health Care Equipment & Services
FFCI11 BZ Equity;FI IMOB RIO BRAVO RENDA CORP;Real Estate Investment Trusts
CNES11 BZ Equity;FND INVST IMOB BM CENESPFII;#N/A N/A
TESA3 BZ Equity;TERRA SANTA AGRO SA;Alternative Energy
NSLU11 BZ Equity;FIM HOSPITAL NS LOURDES;Real Estate Investment Trusts
ROMI3 BZ Equity;INDUSTRIAS ROMI SA;Industrial Engineering
FIIB11 BZ Equity;FII INDUSTRIAL DO BRASIL;#N/A N/A
RNGO11 BZ Equity;FII RIO NEGRO;#N/A N/A
FPAB11 BZ Equity;FI IMOB PROJETO AGUA BRANCA;Real Estate Investment Trusts
PATI3 BZ Equity;PANATLANTICA SA;Industrial Metals & Mining
BMEB4 BZ Equity;BANCO MERCANTIL DO BRASIL-PR;Banks
RDNI3 BZ Equity;RODOBENS NEG IMOB SA;Real Estate Investment & Services
MSPA4 BZ Equity;CIA MELHORAMENTOS DE SAO-PRF;Forestry & Paper
AFLT3 BZ Equity;AFLUENTE TRANSMISSAO DE;Electricity
SNSL3 BZ Equity;SENIOR SOLUTION SA;Software & Computer Services
ETER3 BZ Equity;ETERNIT SA;Construction & Materials
IDVL4 BZ Equity;BANCO INDUSVAL SA;Banks
HGJH11 BZ Equity;CSHG JHSF PRIME OFFICES FII;Real Estate Investment Trusts
JOPA4 BZ Equity;JOAQUIM OLIVEIRA SA-PREF;Food Producers
XPCM11 BZ Equity;XP CORPORATE MACAE FII;#N/A N/A
FVBI11 BZ Equity;FII VBI FL 4440;#N/A N/A
TRIS3 BZ Equity;TRISUL SA;Real Estate Investment & Services
NAFG4 BZ Equity;NADIR FIGUEIREDO SA-PREF;Household Goods & Home Construction
BBRC11 BZ Equity;FII BB RENDA CORPORATIVA;#N/A N/A
PTNT4 BZ Equity;PETTENATI SA INDUSTRIA-PREF;Personal Goods
BOBR4 BZ Equity;BOMBRIL-PREF;Household Goods & Home Construction
VRTA11 BZ Equity;FATOR VERITA FD INV IMOBILIA;Real Estate Investment Trusts
JRDM11 BZ Equity;FII SHOPPING JARDIM SUL;#N/A N/A
IVVB11 BZ Equity;ISHARES S&P 500 FIC FI IE;#N/A N/A
KNRE11 BZ Equity;KINEA II REAL ESTATE EQTY FI;Nonequity Investment Instruments
EDGA11 BZ Equity;FII BM EDIFICIO GALERIA;#N/A N/A
BPFF11 BZ Equity;FII BRASIL PLURAL ABSOLUTO;#N/A N/A
FIIP11B BZ Equity;RB CAPITAL RENDA I FI IMOBIL;Real Estate Investment Trusts
ALMI11 BZ Equity;FII TORRE ALMIRANTE;Real Estate Investment Trusts
FHER3 BZ Equity;FERTILIZANTES HERINGER LTDA;Chemicals
FIGS11 BZ Equity;FII GENERAL SHOPPING ATIVO;#N/A N/A
ITEC3 BZ Equity;ITAUTEC SA - GRUPO ITAUTEC;Technology Hardware & Equipment
